run_accession	fastq_ftp	fastq_bytes	library_strategy	sample_title
SRR3720368	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/008/SRR3720368/SRR3720368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/008/SRR3720368/SRR3720368_2.fastq.gz	15398915;18791892	AMPLICON	Human sample from Homo sapiens
SRR3720370	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/000/SRR3720370/SRR3720370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/000/SRR3720370/SRR3720370_2.fastq.gz	16235532;20809120	AMPLICON	Human sample from Homo sapiens
SRR3720372	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/002/SRR3720372/SRR3720372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/002/SRR3720372/SRR3720372_2.fastq.gz	14100266;16446657	AMPLICON	Human sample from Homo sapiens
SRR3720375	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/005/SRR3720375/SRR3720375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/005/SRR3720375/SRR3720375_2.fastq.gz	18908410;20075187	AMPLICON	Human sample from Homo sapiens
SRR3720377	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/007/SRR3720377/SRR3720377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/007/SRR3720377/SRR3720377_2.fastq.gz	11445718;13426093	AMPLICON	Human sample from Homo sapiens
SRR3720381	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/001/SRR3720381/SRR3720381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/001/SRR3720381/SRR3720381_2.fastq.gz	15181613;17436597	AMPLICON	Human sample from Homo sapiens
SRR4457871	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/001/SRR4457871/SRR4457871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/001/SRR4457871/SRR4457871_2.fastq.gz	13442838;14983305	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457874	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/004/SRR4457874/SRR4457874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/004/SRR4457874/SRR4457874_2.fastq.gz	11875097;12474849	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457875	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/005/SRR4457875/SRR4457875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/005/SRR4457875/SRR4457875_2.fastq.gz	9217446;9994433	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457879	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/009/SRR4457879/SRR4457879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/009/SRR4457879/SRR4457879_2.fastq.gz	15452179;15913488	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457880	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/000/SRR4457880/SRR4457880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/000/SRR4457880/SRR4457880_2.fastq.gz	14226608;14691538	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457881	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/001/SRR4457881/SRR4457881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/001/SRR4457881/SRR4457881_2.fastq.gz	18165624;18857206	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457882	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/002/SRR4457882/SRR4457882_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/002/SRR4457882/SRR4457882_2.fastq.gz	11961473;12243495	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457883	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/003/SRR4457883/SRR4457883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/003/SRR4457883/SRR4457883_2.fastq.gz	15613618;15576034	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457886	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/006/SRR4457886/SRR4457886_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/006/SRR4457886/SRR4457886_2.fastq.gz	13113277;13174740	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457889	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/009/SRR4457889/SRR4457889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/009/SRR4457889/SRR4457889_2.fastq.gz	17669503;17601443	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457892	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/002/SRR4457892/SRR4457892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/002/SRR4457892/SRR4457892_2.fastq.gz	17103466;18927470	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457895	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/005/SRR4457895/SRR4457895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/005/SRR4457895/SRR4457895_2.fastq.gz	18232786;19837270	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457898	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/008/SRR4457898/SRR4457898_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/008/SRR4457898/SRR4457898_2.fastq.gz	15549486;16759394	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457899	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/009/SRR4457899/SRR4457899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/009/SRR4457899/SRR4457899_2.fastq.gz	12805497;13815875	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457905	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/005/SRR4457905/SRR4457905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/005/SRR4457905/SRR4457905_2.fastq.gz	21447977;21170634	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457906	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/006/SRR4457906/SRR4457906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/006/SRR4457906/SRR4457906_2.fastq.gz	17524571;17835799	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
